scenario_id,num_obstacles,planner,collision_rate,completion_rate,expected_cost,runtime_s,min_obstacle_dist_m,converged,collision_free,error
USA_Lanker-1_10_T-1,32,plan_on_mean_sqp,0.5,1,4.347745,1.2268,3.0,1,1,
USA_Lanker-1_10_T-1,32,plan_on_mean_cmaes,0.0,1,3.685658,3.5961,7.694,1,1,
USA_Lanker-1_10_T-1,32,worst_case_sqp,0.0,1,9.018788,4.8419,3.0,1,1,
USA_Lanker-1_10_T-1,32,worst_case_cmaes,0.0,1,3.482002,11.8236,7.0561,1,1,
USA_Lanker-1_10_T-1,32,stochastic_sqp,0.0,1,8.957132,1.5358,3.0825,1,1,
USA_Lanker-1_10_T-1,32,stochastic_cmaes,0.0,1,5.239658,8.064,7.3375,1,1,
USA_Lanker-1_1_T-1,24,plan_on_mean_sqp,0.25,1,0.000951,13.8744,3.8212,1,1,
USA_Lanker-1_1_T-1,24,plan_on_mean_cmaes,0.25,1,8.929288,8.4661,4.194,1,1,
USA_Lanker-1_1_T-1,24,worst_case_sqp,0.25,0,0.529444,141.8339,3.0,0,1,
USA_Lanker-1_1_T-1,24,worst_case_cmaes,0.0,1,20.365672,25.0515,3.056,1,1,
USA_Lanker-1_1_T-1,24,stochastic_sqp,0.0,0,0.850709,38.4178,3.0972,0,1,
USA_Lanker-1_1_T-1,24,stochastic_cmaes,0.0,1,8.531814,11.7593,3.1064,1,1,
USA_Lanker-1_2_T-1,42,plan_on_mean_sqp,0.5,0,22.611109,66.4631,2.9967,0,1,
USA_Lanker-1_2_T-1,42,plan_on_mean_cmaes,0.0,1,26.341798,11.1324,3.6411,1,1,
USA_Lanker-1_2_T-1,42,worst_case_sqp,0.0,1,14.710996,333.6125,3.0,1,1,
USA_Lanker-1_2_T-1,42,worst_case_cmaes,0.0,1,24.170367,49.1309,3.686,1,1,
USA_Lanker-1_2_T-1,42,stochastic_sqp,0.0,0,45.526079,73.4562,3.691,0,1,
USA_Lanker-1_2_T-1,42,stochastic_cmaes,0.0,1,31.77302,17.009,3.7112,1,1,
USA_Lanker-1_3_T-1,36,plan_on_mean_sqp,0.75,1,0.290851,17.3869,3.0,1,1,
USA_Lanker-1_3_T-1,36,plan_on_mean_cmaes,0.0,1,22.527277,8.1401,5.9605,1,1,
USA_Lanker-1_3_T-1,36,worst_case_sqp,0.25,0,3.747663,191.13,2.9998,0,1,
